time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-10T16:18:27.120Z,-10.9133,162.3903,35,5.1,mb,,63,2.816,0.83,us,us1000ha2w,2018-10-10T16:37:38.040Z,"72km SE of Kirakira, Solomon Islands",earthquake,9.2,2,0.048,139,reviewed,us,us
2018-10-10T11:11:03.170Z,-22.0519,-179.1596,579.92,4.6,mb,,47,5.023,0.91,us,us1000h9x5,2018-10-10T11:32:05.040Z,"162km SSW of Ndoi Island, Fiji",earthquake,10.8,8.1,0.045,146,reviewed,us,us
2018-10-10T10:28:04.630Z,19.0119,95.5838,10,5.1,mb,,63,2.217,1.02,us,us1000h9ws,2018-10-10T10:48:07.040Z,"44km ENE of Prome, Burma",earthquake,7.1,1.8,0.041,193,reviewed,us,us
2018-10-10T09:43:12.480Z,24.8391,122.0765,10,4.5,mwr,,55,0.542,0.66,us,us1000h9wb,2018-10-10T10:05:32.040Z,"33km ENE of Yilan, Taiwan",earthquake,6.7,1.3,0.083,14,reviewed,us,us
2018-10-10T08:01:33.650Z,11.068,-86.6738,35.98,4.7,mb,,158,1.152,1.09,us,us1000h9v1,2018-10-10T10:26:49.040Z,"81km SSW of Masachapa, Nicaragua",earthquake,5.9,7.8,0.036,237,reviewed,us,us
2018-10-10T06:27:58.406Z,55.6252,-158.886,41.7,5,ml,,,,0.52,ak,ak20275238,2018-10-10T14:43:21.040Z,"61km SSW of Chignik Lake, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2018-10-10T05:53:57.980Z,-6.2006,146.712,110.67,5.3,mb,,35,3.214,1.29,us,us1000h9tn,2018-10-10T06:11:18.488Z,"65km NNW of Lae, Papua New Guinea",earthquake,8.1,6.9,0.09,41,reviewed,us,us
2018-10-10T04:55:15.270Z,-55.8061,-27.3014,41.39,4.9,mb,,194,5.498,0.74,us,us1000h9ta,2018-10-10T05:09:31.040Z,"99km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,14.3,10.1,0.106,28,reviewed,us,us
2018-10-10T03:48:56.030Z,-6.3141,-80.4079,37.56,4.5,mb,,159,6.795,0.88,us,us1000h9sy,2018-10-10T04:35:58.040Z,"50km WNW of Morrope, Peru",earthquake,11.2,9,0.08,46,reviewed,us,us
2018-10-10T02:16:01.230Z,-8.1867,116.7698,10,4.6,mb,,68,2.605,1,us,us1000h9sk,2018-10-10T02:36:29.040Z,"20km NE of Belanting, Indonesia",earthquake,8.4,1.9,0.133,17,reviewed,us,us
